# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.100739        0.00621567    
      3.50000           4.00000          0.105863        0.00771457    
      4.00000           4.50000          0.107026        0.00841330    
      4.50000           5.00000          0.104460        0.00992286    
      5.00000           5.40000          0.102389         0.0127672    
      5.40000           5.80000         0.0808602         0.0164451    
      5.80000           6.20000          0.106499         0.0160897    
      6.20000           6.60000          0.100828         0.0172986    
      6.60000           7.00000          0.103562         0.0190560    
      7.00000           8.00000          0.146386         0.0134692    
      8.00000           10.0000          0.124398         0.0161341    
