# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0659654         0.0349013    
      3.50000           4.00000          0.157360         0.0236747    
      4.00000           4.50000          0.178104         0.0239067    
      4.50000           5.00000          0.136749         0.0193450    
      5.00000           5.40000          0.105541         0.0223769    
      5.40000           5.80000          0.120343         0.0225073    
      5.80000           6.20000         0.0941338         0.0201423    
      6.20000           6.60000          0.119017         0.0203469    
      6.60000           7.00000          0.128511         0.0285857    
      7.00000           8.00000         0.0913714         0.0223207    
      8.00000           10.0000         0.0963607         0.0263867    
