# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0908774        0.00799747    
      3.50000           4.00000          0.101901         0.0103927    
      4.00000           4.50000          0.101153         0.0118540    
      4.50000           5.00000          0.111944         0.0124589    
      5.00000           5.40000         0.0763438         0.0203945    
      5.40000           5.80000         0.0624022         0.0257536    
      5.80000           6.20000         0.0143815         0.0535967    
      6.20000           6.60000          0.102862         0.0216584    
      6.60000           7.00000         0.0569534         0.0365917    
      7.00000           8.00000          0.110842         0.0196896    
      8.00000           10.0000          0.161104         0.0195229    
