# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.348254         0.0103796    
      3.50000           4.00000          0.334589         0.0117109    
      4.00000           4.50000          0.304083         0.0130028    
      4.50000           5.00000          0.273296         0.0136653    
      5.00000           5.40000          0.265031         0.0164993    
      5.40000           5.80000          0.248233         0.0184890    
      5.80000           6.20000          0.234506         0.0192393    
      6.20000           6.60000          0.210571         0.0192776    
      6.60000           7.00000          0.256627         0.0231706    
      7.00000           8.00000          0.263463         0.0183879    
      8.00000           10.0000          0.230753         0.0203333    
