# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.260934         0.0172956    
      3.50000           4.00000          0.229997         0.0196660    
      4.00000           4.50000          0.230705         0.0202741    
      4.50000           5.00000          0.270336         0.0219675    
      5.00000           5.40000          0.230919         0.0301688    
      5.40000           5.80000          0.203668         0.0313787    
      5.80000           6.20000          0.186363         0.0320511    
      6.20000           6.60000          0.148281         0.0332205    
      6.60000           7.00000          0.223718         0.0454732    
      7.00000           8.00000          0.221940         0.0323233    
      8.00000           10.0000          0.256409         0.0336576    
