# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0497035        0.00417414    
      3.50000           4.00000         0.0530044        0.00451392    
      4.00000           4.50000         0.0394684        0.00549085    
      4.50000           5.00000         0.0384632        0.00674821    
      5.00000           5.40000         0.0534229        0.00726782    
      5.40000           5.80000         0.0193159         0.0128751    
      5.80000           6.20000         0.0255507         0.0128727    
      6.20000           6.60000         0.0471346        0.00846380    
      6.60000           7.00000         0.0400057         0.0120099    
      7.00000           8.00000         0.0539106        0.00757768    
      8.00000           10.0000         0.0570578        0.00759220    
