# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.366731        0.00570578    
      3.50000           4.00000          0.330702        0.00617559    
      4.00000           4.50000          0.292018        0.00660569    
      4.50000           5.00000          0.270199        0.00698203    
      5.00000           5.40000          0.235129        0.00808294    
      5.40000           5.80000          0.228624        0.00870477    
      5.80000           6.20000          0.189677        0.00878021    
      6.20000           6.60000          0.165811        0.00835788    
      6.60000           7.00000          0.191894         0.0102471    
      7.00000           8.00000          0.217145        0.00816194    
      8.00000           10.0000          0.208487        0.00862948    
