# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000          0.181647         0.0273529    
      3.50000           4.00000          0.274115         0.0297632    
      4.00000           4.50000          0.161705         0.0310739    
      4.50000           5.00000          0.199501         0.0277355    
      5.00000           5.40000          0.206510         0.0321713    
      5.40000           5.80000          0.210749         0.0318905    
      5.80000           6.20000          0.161382         0.0339809    
      6.20000           6.60000          0.152992         0.0348250    
      6.60000           7.00000          0.143937         0.0492048    
      7.00000           8.00000          0.175369         0.0354195    
      8.00000           10.0000         0.0840965         0.0406141    
