# energy_low(keV)  energy_high(keV)  fractional_rms  fractional_rms_error
      3.00000           3.50000         0.0496623        0.00607068    
      3.50000           4.00000         0.0514962        0.00648570    
      4.00000           4.50000         0.0550537        0.00688352    
      4.50000           5.00000         0.0414509        0.00816525    
      5.00000           5.40000         0.0409880        0.00997457    
      5.40000           5.80000         0.0391253         0.0112644    
      5.80000           6.20000         0.0464766         0.0113076    
      6.20000           6.60000         0.0265267         0.0139570    
      6.60000           7.00000         0.0567929         0.0130734    
      7.00000           8.00000         0.0448115         0.0106249    
      8.00000           10.0000         0.0179209         0.0130423    
